k,version,i,j,iName,jName,stimtag,iSex,jSex,stimNum
1,1,10,11, Robert, Steve, net3,0,0,2
1,2,11,10, Steve, Robert, net3,0,0,2
2,1,10,12, Robert, Ronald, net3,0,0,2
2,2,12,10, Ronald, Robert, net3,0,0,2
3,1,11,12, Steve, Ronald, net3,0,0,2
3,2,12,11, Ronald, Steve, net3,0,0,2
4,1,11,13, Steve, Molly, net3,0,0,2
4,2,13,11, Molly, Steve, net3,0,0,2
5,1,11,15, Steve, Karol, net3,0,0,2
5,2,15,11, Karol, Steve, net3,0,0,2
6,1,12,16, Ronald, William, net3,0,0,2
6,2,16,12, William, Ronald, net3,0,0,2
7,1,12,14, Ronald, June, net3,0,0,2
7,2,14,12, June, Ronald, net3,0,0,2
8,1,13,15, Molly, Karol, net3,0,0,2
8,2,15,13, Karol, Molly, net3,0,0,2
9,1,14,16, June, William, net3,0,0,2
9,2,16,14, William, June, net3,0,0,2
10,1,15,16, Karol, William, net3,0,0,2
10,2,16,15, William, Karol, net3,0,0,2
11,1,15,17, Karol, Lora, net3,0,0,2
11,2,17,15, Lora, Karol, net3,0,0,2
12,1,16,17, William, Lora, net3,0,0,2
12,2,17,16, Lora, William, net3,0,0,2
