k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,8,12, Joshua, Ryan, nul3,0,0,0,4
1,2,12,8, Ryan, Joshua, nul3,0,0,0,4
2,1,8,13, Joshua, Ashley, nul3,0,1,0,4
2,2,13,8, Ashley, Joshua, nul3,1,0,0,4
3,1,9,10, Elizabeth, Daniel, nul3,1,0,0,4
3,2,10,9, Daniel, Elizabeth, nul3,0,1,0,4
4,1,9,12, Elizabeth, Ryan, nul3,1,0,0,4
4,2,12,9, Ryan, Elizabeth, nul3,0,1,0,4
5,1,9,13, Elizabeth, Ashley, nul3,1,1,0,4
5,2,13,9, Ashley, Elizabeth, nul3,1,1,0,4
6,1,11,12, Jacob, Ryan, nul3,0,0,0,4
6,2,12,11, Ryan, Jacob, nul3,0,0,0,4
