k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,8,9, Tyler, Christopher, net3,0,0,0,2
1,2,9,8, Christopher, Tyler, net3,0,0,0,2
2,1,8,10, Tyler, William, net3,0,0,0,2
2,2,10,8, William, Tyler, net3,0,0,0,2
3,1,8,11, Tyler, Alyssa, net3,0,1,0,2
3,2,11,8, Alyssa, Tyler, net3,1,0,0,2
4,1,9,11, Christopher, Alyssa, net3,0,1,0,2
4,2,11,9, Alyssa, Christopher, net3,1,0,0,2
5,1,10,11, William, Alyssa, net3,0,1,0,2
5,2,11,10, Alyssa, William, net3,1,0,0,2
6,1,10,12, William, Rachel, net3,0,1,0,2
6,2,12,10, Rachel, William, net3,1,0,0,2
7,1,10,13, William, Jessica, net3,0,1,0,2
7,2,13,10, Jessica, William, net3,1,0,0,2
8,1,11,13, Alyssa, Jessica, net3,1,1,0,2
8,2,13,11, Jessica, Alyssa, net3,1,1,0,2
9,1,12,13, Rachel, Jessica, net3,1,1,0,2
9,2,13,12, Jessica, Rachel, net3,1,1,0,2
