k,version,i,j,iName,jName,stimtag,iSex,jSex,stimNum
1,1,1,3, Jimmie, James, nul2,0,0,3
1,2,3,1, James, Jimmie, nul2,0,0,3
2,1,1,4, Jimmie, Mindy, nul2,0,0,3
2,2,4,1, Mindy, Jimmie, nul2,0,0,3
3,1,1,5, Jimmie, William, nul2,0,0,3
3,2,5,1, William, Jimmie, nul2,0,0,3
4,1,1,6, Jimmie, Patrick, nul2,0,0,3
4,2,6,1, Patrick, Jimmie, nul2,0,0,3
5,1,1,8, Jimmie, Doris, nul2,0,0,3
5,2,8,1, Doris, Jimmie, nul2,0,0,3
6,1,1,9, Jimmie, Betty, nul2,0,0,3
6,2,9,1, Betty, Jimmie, nul2,0,0,3
7,1,2,6, Jason, Patrick, nul2,0,0,3
7,2,6,2, Patrick, Jason, nul2,0,0,3
8,1,2,7, Jason, Willa, nul2,0,0,3
8,2,7,2, Willa, Jason, nul2,0,0,3
9,1,2,8, Jason, Doris, nul2,0,0,3
9,2,8,2, Doris, Jason, nul2,0,0,3
10,1,2,9, Jason, Betty, nul2,0,0,3
10,2,9,2, Betty, Jason, nul2,0,0,3
11,1,3,4, James, Mindy, nul2,0,0,3
11,2,4,3, Mindy, James, nul2,0,0,3
12,1,3,5, James, William, nul2,0,0,3
12,2,5,3, William, James, nul2,0,0,3
13,1,3,6, James, Patrick, nul2,0,0,3
13,2,6,3, Patrick, James, nul2,0,0,3
14,1,3,7, James, Willa, nul2,0,0,3
14,2,7,3, Willa, James, nul2,0,0,3
15,1,3,9, James, Betty, nul2,0,0,3
15,2,9,3, Betty, James, nul2,0,0,3
16,1,4,5, Mindy, William, nul2,0,0,3
16,2,5,4, William, Mindy, nul2,0,0,3
17,1,4,6, Mindy, Patrick, nul2,0,0,3
17,2,6,4, Patrick, Mindy, nul2,0,0,3
18,1,4,7, Mindy, Willa, nul2,0,0,3
18,2,7,4, Willa, Mindy, nul2,0,0,3
19,1,4,8, Mindy, Doris, nul2,0,0,3
19,2,8,4, Doris, Mindy, nul2,0,0,3
20,1,5,7, William, Willa, nul2,0,0,3
20,2,7,5, Willa, William, nul2,0,0,3
21,1,5,8, William, Doris, nul2,0,0,3
21,2,8,5, Doris, William, nul2,0,0,3
22,1,5,9, William, Betty, nul2,0,0,3
22,2,9,5, Betty, William, nul2,0,0,3
23,1,7,8, Willa, Doris, nul2,0,0,3
23,2,8,7, Doris, Willa, nul2,0,0,3
24,1,7,9, Willa, Betty, nul2,0,0,3
24,2,9,7, Betty, Willa, nul2,0,0,3
25,1,8,9, Doris, Betty, nul2,0,0,3
25,2,9,8, Betty, Doris, nul2,0,0,3
