k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,8,12, Tyler, Rachel, nul3,0,1,0,4
1,2,12,8, Rachel, Tyler, nul3,1,0,0,4
2,1,8,13, Tyler, Jessica, nul3,0,1,0,4
2,2,13,8, Jessica, Tyler, nul3,1,0,0,4
3,1,9,10, Christopher, William, nul3,0,0,0,4
3,2,10,9, William, Christopher, nul3,0,0,0,4
4,1,9,12, Christopher, Rachel, nul3,0,1,0,4
4,2,12,9, Rachel, Christopher, nul3,1,0,0,4
5,1,9,13, Christopher, Jessica, nul3,0,1,0,4
5,2,13,9, Jessica, Christopher, nul3,1,0,0,4
6,1,11,12, Alyssa, Rachel, nul3,1,1,0,4
6,2,12,11, Rachel, Alyssa, nul3,1,1,0,4
