k,version,i,j,iName,jName,stimtag,iSex,jSex,stimNum
1,1,1,2, Virginia, Lorena, net2,0,0,1
1,2,2,1, Lorena, Virginia, net2,0,0,1
2,1,1,7, Virginia, Paul, net2,0,0,1
2,2,7,1, Paul, Virginia, net2,0,0,1
3,1,2,3, Lorena, Mary, net2,0,0,1
3,2,3,2, Mary, Lorena, net2,0,0,1
4,1,2,4, Lorena, Gary, net2,0,0,1
4,2,4,2, Gary, Lorena, net2,0,0,1
5,1,2,5, Lorena, Thomas, net2,0,0,1
5,2,5,2, Thomas, Lorena, net2,0,0,1
6,1,3,8, Mary, Leroy, net2,0,0,1
6,2,8,3, Leroy, Mary, net2,0,0,1
7,1,4,9, Gary, Kent, net2,0,0,1
7,2,9,4, Kent, Gary, net2,0,0,1
8,1,5,6, Thomas, Helen, net2,0,0,1
8,2,6,5, Helen, Thomas, net2,0,0,1
9,1,6,8, Helen, Leroy, net2,0,0,1
9,2,8,6, Leroy, Helen, net2,0,0,1
10,1,6,9, Helen, Kent, net2,0,0,1
10,2,9,6, Kent, Helen, net2,0,0,1
11,1,6,7, Helen, Paul, net2,0,0,1
11,2,7,6, Paul, Helen, net2,0,0,1
