k,version,i,j,iName,jName,stimtag,iSex,jSex,nullType,stimNum
1,1,8,9, Sarah, Austin, net3,1,0,0,2
1,2,9,8, Austin, Sarah, net3,0,1,0,2
2,1,8,10, Sarah, Taylor, net3,1,1,0,2
2,2,10,8, Taylor, Sarah, net3,1,1,0,2
3,1,8,11, Sarah, Amanda, net3,1,1,0,2
3,2,11,8, Amanda, Sarah, net3,1,1,0,2
4,1,9,11, Austin, Amanda, net3,0,1,0,2
4,2,11,9, Amanda, Austin, net3,1,0,0,2
5,1,10,11, Taylor, Amanda, net3,1,1,0,2
5,2,11,10, Amanda, Taylor, net3,1,1,0,2
6,1,10,12, Taylor, Matthew, net3,1,0,0,2
6,2,12,10, Matthew, Taylor, net3,0,1,0,2
7,1,10,13, Taylor, Emily, net3,1,1,0,2
7,2,13,10, Emily, Taylor, net3,1,1,0,2
8,1,11,13, Amanda, Emily, net3,1,1,0,2
8,2,13,11, Emily, Amanda, net3,1,1,0,2
9,1,12,13, Matthew, Emily, net3,0,1,0,2
9,2,13,12, Emily, Matthew, net3,1,0,0,2
